Rk,Team,Tournament_Seed_From_Pasted_Table,Conf,W-L,Wins,Losses,NetRtg,ORtg,ORtg_Rk,DRtg,DRtg_Rk,AdjT,AdjT_Rk,Luck,Luck_Rk,SOS_NetRtg,SOS_NetRtg_Rk,SOS_ORtg,SOS_ORtg_Rk,SOS_DRtg,SOS_DRtg_Rk,NCSOS_NetRtg,NCSOS_NetRtg_Rk
172,Charleston,,CAA,21-11,21,11,-0.12,108.1,186,108.2,148,67.6,167,0.105,11,-2.0,206,108.9,169,110.9,227,-1.53,227
173,Texas A&M Corpus Chris,,Slnd,18-15,18,15,-0.28,104.8,256,105.1,96,66.0,256,0.003,183,-0.09,153,108.7,181,108.8,152,16.59,2
174,Austin Peay,,ASun,22-9,22,9,-0.28,108.0,187,108.3,151,69.4,73,0.033,101,-6.58,294,108.3,201,114.9,361,2.13,122
175,CSUN,,BW,20-14,20,14,-0.35,109.0,175,109.3,177,73.6,2,0.078,25,0.07,150,108.0,226,107.9,125,1.12,150
176,Middle Tennessee,,CUSA,17-15,17,15,-0.5,109.2,167,109.7,189,65.8,268,0.012,152,0.98,132,109.6,135,108.7,147,11.14,13
177,Northern Kentucky,,Horz,20-14,20,14,-0.6,109.5,162,110.1,195,70.2,37,-0.022,244,-4.38,255,109.9,124,114.3,355,-4.17,288
178,Oregon St.,,WCC,17-16,17,16,-0.65,109.2,168,109.8,190,65.1,300,0.097,18,3.12,103,110.2,114,107.1,100,-1.66,233
179,Monmouth,,CAA,19-15,19,15,-0.86,106.1,226,107.0,128,67.1,196,0.013,148,-2.52,216,107.3,261,109.8,182,-3.72,282
180,Merrimack,,MAAC,23-11,23,11,-0.87,106.5,220,107.4,138,63.5,348,0.115,8,-5.81,282,105.0,302,110.9,223,3.21,102
181,Campbell,,CAA,16-18,16,18,-1.4,111.3,130,112.7,250,69.8,59,0.009,163,0.86,135,109.2,154,108.3,137,7.63,38
182,New Mexico St.,,CUSA,16-16,16,16,-1.41,108.8,179,110.2,198,67.0,203,-0.061,326,-1.16,183,108.4,198,109.5,172,0.66,168
183,Queens,15.0,ASun,21-13,21,13,-1.44,115.8,77,117.2,322,69.6,64,0.067,37,-5.65,276,108.3,200,114.0,353,5.7,59
184,Charlotte,,Amer,17-17,17,17,-1.49,113.0,106,114.5,284,63.4,349,0.024,124,0.53,145,109.3,152,108.7,149,-0.9,209
185,Montana,,BSky,18-16,18,16,-1.71,106.8,217,108.5,156,69.6,66,0.047,65,-0.09,154,110.1,116,110.2,204,5.29,65
186,Tennessee St.,15.0,OVC,23-9,23,9,-1.81,109.1,173,110.9,211,70.2,36,0.07,31,-8.23,325,103.2,344,111.5,250,5.45,61
187,Utah Tech,,WAC,19-15,19,15,-1.86,110.9,138,112.8,252,66.3,239,0.099,16,0.74,137,107.4,257,106.6,93,3.72,92
188,UMBC,16.0,AE,24-9,24,9,-1.96,108.8,177,110.8,210,66.3,240,0.028,113,-14.48,365,100.6,364,115.1,362,-7.0,334
189,Mercer,,SC,19-13,19,13,-1.97,111.8,121,113.7,269,68.9,92,-0.021,241,-5.38,270,108.2,212,113.6,345,3.99,86
190,Furman,15.0,SC,22-12,22,12,-1.98,107.4,201,109.4,181,65.9,263,0.01,159,-6.29,290,108.1,218,114.4,356,-0.71,203
191,FIU,,CUSA,15-17,15,17,-2.04,107.5,200,109.5,186,71.6,12,-0.051,307,-1.13,182,108.7,180,109.9,187,-0.1,189
192,Columbia,,Ivy,16-12,16,12,-2.07,108.5,183,110.6,206,66.7,219,0.012,151,-3.56,232,108.0,223,111.6,258,-5.45,310
193,Siena,16.0,MAAC,23-11,23,11,-2.15,107.1,211,109.3,175,64.7,319,0.005,177,-9.52,347,102.9,351,112.4,296,-7.79,344
194,New Orleans,,Slnd,15-18,15,18,-2.19,109.7,157,111.9,232,69.7,60,0.038,92,0.56,144,108.3,207,107.7,117,14.06,5
195,Appalachian St.,,SB,19-13,19,13,-2.33,105.8,232,108.2,147,63.0,358,0.015,144,-5.52,272,107.0,270,112.5,302,-3.28,274
196,Massachusetts,,MAC,17-16,17,16,-2.62,108.7,180,111.3,216,69.9,48,-0.045,300,-3.67,239,107.8,243,111.4,247,-6.64,329
197,Drake,,MVC,14-20,14,20,-2.62,109.9,155,112.6,248,67.2,186,-0.06,322,2.07,111,109.4,149,107.3,104,-4.14,287
198,Weber St.,,BSky,16-16,16,16,-2.62,111.6,129,114.2,279,68.5,119,-0.031,271,-1.92,202,108.3,204,110.2,203,-1.02,216
199,Louisiana Tech,,CUSA,20-14,20,14,-2.71,103.0,286,105.7,106,64.3,332,0.05,61,-2.8,222,108.1,219,110.9,225,-7.07,335
200,Lipscomb,,ASun,19-13,19,13,-2.83,106.9,214,109.7,188,69.4,74,0.044,72,-5.2,268,108.7,179,113.9,348,4.71,76
201,Buffalo,,MAC,17-15,17,15,-2.83,112.4,113,115.3,298,66.5,230,-0.028,259,-3.63,235,107.5,253,111.1,234,-6.75,330
202,Indiana St.,,MVC,11-21,11,21,-2.85,106.2,224,109.1,170,68.0,138,-0.11,362,1.3,126,108.7,186,107.4,108,-5.41,309
203,Portland,,WCC,15-19,15,19,-2.87,106.1,227,108.9,164,68.5,121,0.064,42,3.67,101,111.2,97,107.6,112,0.71,162
204,Howard,16.0,MEAC,24-10,24,10,-2.92,104.1,268,107.0,129,69.1,85,0.003,184,-14.04,364,100.8,363,114.8,360,-1.68,234
205,Missouri St.,,CUSA,16-18,16,18,-2.96,109.0,174,112.0,237,65.5,284,-0.043,296,-1.47,189,108.1,217,109.6,174,-1.11,221
206,Marist,,MAAC,19-12,19,12,-3.12,99.5,328,102.6,60,66.3,237,-0.027,254,-8.96,337,103.9,323,112.9,317,-7.35,339
207,South Alabama,,SB,21-11,21,11,-3.12,107.1,212,110.2,197,64.6,321,0.058,47,-6.02,286,106.0,288,112.0,279,-5.27,305
208,Marshall,,SB,19-13,19,13,-3.17,112.1,117,115.2,297,69.3,75,0.034,98,-4.21,253,107.4,258,111.6,257,-1.09,220
209,Jacksonville St.,,CUSA,15-17,15,17,-3.19,105.2,250,108.4,153,65.4,288,-0.057,319,-2.74,220,107.9,237,110.6,214,-6.32,320
210,Green Bay,,Horz,18-15,18,15,-3.52,112.5,112,116.1,308,62.9,361,0.064,40,-2.11,210,110.0,122,112.1,284,6.22,52
211,Cal Poly,,BW,14-19,14,19,-3.62,109.4,164,113.0,254,74.0,1,-0.003,195,1.32,124,108.6,187,107.3,105,5.24,67
212,Tulane,,Amer,18-15,18,15,-3.62,107.7,195,111.4,219,66.9,208,0.121,5,0.26,148,108.3,206,108.0,127,-3.73,283
213,James Madison,,SB,18-15,18,15,-3.91,109.1,171,113.1,255,66.0,257,0.017,134,-4.89,263,106.5,280,111.4,244,-2.73,260
214,Samford,,SC,18-14,18,14,-3.93,109.6,160,113.6,265,67.3,184,0.009,164,-5.96,284,107.9,230,113.9,347,0.24,182
215,Youngstown St.,,Horz,15-17,15,17,-3.94,105.5,243,109.5,183,67.2,187,-0.092,352,-3.77,243,109.5,141,113.3,335,-1.54,228
216,LIU,16.0,NEC,24-10,24,10,-3.97,105.6,238,109.6,187,67.8,154,0.104,12,-9.98,350,103.6,334,113.6,344,2.16,120
217,Southern Miss,,SB,19-16,19,16,-4.15,105.2,248,109.4,179,69.3,76,0.043,74,-3.65,236,107.1,264,110.8,221,1.25,146
218,Detroit Mercy,,Horz,17-15,17,15,-4.16,107.9,190,112.1,238,68.8,100,0.067,36,-2.36,213,109.6,138,112.0,278,7.7,36
219,South Dakota St.,,Sum,14-18,14,18,-4.29,108.0,188,112.3,245,66.8,214,-0.117,364,-3.08,225,107.7,245,110.8,222,2.5,114
220,Quinnipiac,,MAAC,19-13,19,13,-4.3,104.2,267,108.5,155,69.9,50,0.027,117,-7.5,308,104.0,319,111.5,249,1.25,143
221,Tarleton St.,,WAC,14-18,14,18,-4.37,104.3,265,108.6,160,69.2,79,-0.041,294,0.71,139,107.8,244,107.1,98,3.98,87
222,Drexel,,CAA,17-16,17,16,-4.69,102.4,296,107.1,130,64.2,334,0.003,182,-4.38,254,106.3,283,110.7,217,-8.0,347
223,Tennessee Martin,,OVC,22-11,22,11,-4.79,100.4,320,105.2,98,64.2,337,0.048,64,-8.73,333,102.9,350,111.6,262,0.38,175
224,San Diego,,WCC,12-21,12,21,-4.98,108.2,184,113.2,258,68.0,139,0.003,180,2.27,109,109.6,139,107.3,106,-2.12,247
225,San Jose St.,,MWC,9-24,9,24,-4.99,112.2,115,117.2,319,65.1,299,-0.012,214,7.17,79,113.0,82,105.8,80,1.96,127
226,Rice,,Amer,13-18,13,18,-5.23,108.6,182,113.8,271,65.5,279,0.009,162,-0.3,161,108.7,184,109.0,158,-2.06,244
227,Stony Brook,,CAA,17-15,17,15,-5.51,105.2,253,110.7,209,66.3,242,0.064,41,-2.91,223,106.8,274,109.7,180,-4.38,292
228,Western Carolina,,SC,15-16,15,16,-5.59,109.2,169,114.7,288,67.8,155,-0.015,226,-4.01,247,108.7,185,112.7,308,9.69,20
229,Ohio,,MAC,15-17,15,17,-5.61,107.9,192,113.5,264,68.8,99,0.025,119,-1.37,188,108.8,175,110.2,202,0.83,159
230,Elon,,CAA,14-18,14,18,-5.67,110.1,152,115.8,304,66.8,213,-0.03,268,-2.34,212,108.3,203,110.7,215,-3.16,269
231,Long Beach St.,,BW,10-22,10,22,-5.75,105.6,240,111.3,217,68.5,117,-0.03,267,1.0,131,108.6,192,107.6,114,4.44,79
232,Southeast Missouri,,OVC,20-13,20,13,-5.83,102.2,299,108.0,145,68.9,96,0.031,105,-8.01,319,104.0,320,112.0,276,4.44,80
233,Denver,,Sum,15-17,15,17,-5.97,116.0,76,122.0,359,67.9,144,0.007,173,-1.66,197,109.0,166,110.6,213,7.81,32
234,La Salle,,A10,9-23,9,23,-5.98,105.6,239,111.6,223,65.8,266,-0.029,260,5.08,91,111.1,99,106.0,85,3.92,88
235,Georgia Southern,,SB,21-16,21,16,-6.04,110.2,150,116.2,310,70.1,41,0.057,50,-5.78,280,105.8,291,111.6,259,-6.62,328
236,Nicholls,,Slnd,14-19,14,19,-6.22,105.8,235,112.0,236,68.2,129,0.044,70,-0.1,155,108.3,202,108.4,141,9.74,19
237,Lamar,,Slnd,12-19,12,19,-6.29,103.1,284,109.4,178,65.6,275,-0.089,348,-2.72,219,107.0,269,109.7,178,-0.65,201
238,American,,PL,16-16,16,16,-6.36,105.6,241,111.9,234,66.7,220,-0.024,250,-7.92,317,105.2,299,113.1,329,0.69,164
239,Eastern Michigan,,MAC,10-21,10,21,-6.41,101.9,304,108.3,150,66.5,227,-0.096,357,-0.53,164,109.6,137,110.1,200,1.85,130
240,Charleston Southern,,BSth,15-17,15,17,-6.48,105.7,237,112.2,241,71.6,13,-0.09,349,-6.42,292,105.9,290,112.3,292,-5.58,312
